ticker,start_date,end_date
BG,3/15/23,
BIIB,11/13/03,
BK,1/2/96,
BKNG,11/6/09,
BKR,10/18/19,
BLDR,10/18/23,
BLK,4/4/11,
BMY,1/2/96,
BR,6/18/18,
BRK.B,2/16/10,
BRO,9/20/21,
BSX,1/2/96,
BWA,12/19/11,
BX,9/18/23,
BXP,4/3/06,
C,1/2/96,
CAG,1/2/96,
CAH,5/27/97,
CARR,4/3/20,
CAT,1/2/96,
CB,1/2/96,
CBOE,3/1/17,
CBRE,11/10/06,
CCI,3/13/12,
CCL,12/22/98,
CDNS,9/18/17,
CDW,9/23/19,
CE,12/24/18,
CEG,2/2/22,
CF,8/27/08,
CFG,2/1/16,
CHD,12/29/15,
CHRW,3/2/07,
CHTR,9/8/16,
CI,1/2/96,
CINF,12/18/97,
CL,1/2/96,
CLX,1/2/96,
CMCSA,1/2/96,
CME,8/11/06,
CMG,4/28/11,
CMI,1/2/96,
CMS,5/3/99,
CNC,3/30/16,
CNP,1/2/96,
COF,7/1/98,
COO,9/23/16,
COP,1/2/96,
COR,8/30/23,
COST,1/2/96,
CPAY,3/25/24,
CPB,1/2/96,
CPRT,7/2/18,
CPT,4/4/22,
CRL,5/14/21,
CRM,9/15/08,
CRWD,6/24/24,
CSCO,1/2/96,
CSGP,9/19/22,
CSX,1/2/96,
CTAS,3/1/01,
CTRA,10/4/21,
CTSH,11/17/06,
CTVA,6/3/19,
CVS,1/2/96,
CVX,1/2/96,
CZR,3/22/21,
D,1/2/96,
DAL,9/11/13,
DAY,2/1/24,
DD,6/3/19,
DE,1/2/96,
DECK,3/18/24,
DELL,9/23/24,
DFS,7/2/07,
DG,12/3/12,
DGX,12/12/02,
DHI,7/5/05,
DHR,11/18/98,
DIS,1/2/96,
DLR,5/18/16,
DLTR,12/19/11,
DOC,3/4/24,
DOV,1/2/96,
DOW,4/2/19,
DPZ,5/12/20,
DRI,1/2/96,
DTE,1/2/96,
DUK,1/2/96,
DVA,7/31/08,
DVN,8/30/00,
DXCM,5/12/20,
EA,7/22/02,
EBAY,7/22/02,
ECL,1/2/96,
ED,1/2/96,
EFX,6/19/97,
EG,6/10/23,
EIX,1/2/96,
EL,1/5/06,
ELV,6/28/22,
EMN,1/2/96,
EMR,1/2/96,
ENPH,1/7/21,
EOG,11/2/00,
EPAM,12/14/21,
EQIX,3/23/15,
EQR,12/3/01,
EQT,10/3/22,
ERIE,9/23/24,
ES,3/17/09,
ESS,4/2/14,
ETN,1/2/96,
ETR,1/2/96,
EVRG,6/5/18,
EW,4/1/11,
EXC,1/2/96,
EXPD,10/10/07,
EXPE,10/2/07,
EXR,1/19/16,
F,1/2/96,
FANG,12/3/18,
FAST,9/15/08,
FCX,1/2/96,
FDS,12/20/21,
FDX,1/2/96,
FE,1/2/96,
FFIV,12/20/10,
FI,6/7/23,
FICO,3/20/23,
FIS,11/10/06,
FITB,3/8/96,
FMC,8/19/09,
FOX,9/21/15,
